stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:44298",,"La Louvetiere",,44.727596,-0.67218,,,1,,,2,,
"MOBIITI:StopPlace:45146",,"Rue des Mouettes",,44.650616,-1.251238,,,1,,,2,,
"MOBIITI:StopPlace:46476",,"Pinel",,44.824642,-0.521439,,,1,,,2,,
"MOBIITI:StopPlace:44299",,"Allee de Coppinger",,44.72737,-0.675173,,,1,,,2,,
"MOBIITI:StopPlace:44296",,"La Birade",,44.71553,-0.691812,,,1,,,2,,
"MOBIITI:StopPlace:45143",,"Le Barail",,44.790226,-1.159007,,,1,,,2,,
"MOBIITI:StopPlace:45144",,"Centre",,44.79383,-1.148039,,,1,,,2,,
"MOBIITI:StopPlace:44297",,"La Peloue",,44.72866,-0.675823,,,1,,,2,,
"MOBIITI:StopPlace:45149",,"Allee des Ecureuils",,44.712868,-1.217557,,,1,,,2,,
"MOBIITI:StopPlace:45147",,"Pl. d'Ignac",,44.78643,-1.143504,,,1,,,2,,
"MOBIITI:StopPlace:45148",,"Le Grand Piquey",,44.717613,-1.211688,,,1,,,2,,
"MOBIITI:StopPlace:44290",,"La Fleur",,44.582363,-0.777124,,,1,,,2,,
"MOBIITI:StopPlace:44291",,"Le Pique",,44.59098,-0.774539,,,1,,,2,,
"MOBIITI:StopPlace:45141",,"Centre",,44.742676,-1.098362,,,1,,,2,,
